cod_municipio,anio,cod_departamento,nombre_departamento,nombre_municipio,pobl_rur,pobl_urb,pobl_tot,discapital,altura,areaoficialhas,indrural,DF_desemp_fisc,y_total,y_corr,y_transf,y_cap_regalias,y_cap_transf,g_cap_FBKF,MDM,SGP_total,hectareas_formalizadas,hectareas_adjudicadas,n_registros_formalizacion,n_registros_adjudicacion,n_asesinatos_sel_civiles_cmh,n_lideres_tierras_amb_cmh,n_homicidios_firmantes_paz,hectareas_coca,n_extorsiones,vrf_peq_productor,vrf_grande_productor,vrf_mediano_productor,vrf_mujer_rural,nuf_peq_productor,nuf_mujer_rural,vrf_credito_total,n_acciones_belicas,n_homicidios_md,n_homicidios_md_hombres,n_homicidios_md_mujeres,n_homicidios_md_rural,n_homicidios_md_urbano,n_lideres_asesinados_SD,n_lideres_rurales_SD,pdet,pnis,tasa_asesinatos_sel_civiles,tasa_lideres_tierras_amb,tasa_firmantes_paz,tasa_homicidios_md,tasa_homicidios_md_hombres,tasa_homicidios_md_mujeres,tasa_homicidios_md_rural,tasa_homicidios_md_urbano,prop_homicidios_md_rural,ln_homicidios_md,tasa_extorsiones,SGP_total_mill,vrf_peq_pc,vrf_grande_pc,vrf_mediano_pc,vrf_credito_total_pc,tasa_acciones_belicas,ln_acciones_belicas,tasa_lideres_asesinados_SD,tasa_lideres_rurales_SD,ln_lideres_asesinados_SD
66170,2019,66,Risaralda,Dosquebradas,11644,209127,220771,10.351912498474121,1479,8000,0.05274243280291557,74.68140444204934,258730.284949,74799.27240599999,1776.6834860000001,0,161022.865705,62825.038899,59.4458679113104,116136844988,0.009,0,1,0,0,0,0,0,26,386.26759500000003,14225.215196,6364.412139,12.5,79,1,20975.89493,0,33,28,5,7,26,0,0,0,0,0,0,0,14.947615402385276,12.68282518990266,2.264790212482618,3.170706297475665,11.776909104909612,0.21212121212121213,3.5263605246161616,11.776909104909612,116136.844988,1.7496301371103995,64.43425629271961,28.828116641225524,95.01200307105552,0,0,0,0,0
66170,2020,66,Risaralda,Dosquebradas,10262,213520,223782,10.351912498474121,1479,8000,0.045857127755880356,73.59,274954.125969,77499.473466,839.4509539999999,0,183661.063326,20971.775834,68.788238525390625,128333962168,0,0,0,0,1,1,0,0,21,1031.062448,26757.265804,8784.303744,0,97,0,36572.631996,0,35,34,1,6,29,1,0,0,0,0.446863465336801,0.446863465336801,0,15.640221286788034,15.193357821451233,0.446863465336801,2.6811807920208057,12.959040494767228,0.17142857142857143,3.58351893845611,9.384132772072821,128333.962168,4.607441384919252,119.56844520113324,39.253844116148755,163.42973070220123,0,0,0.446863465336801,0,0.6931471805599453
66170,2021,66,Risaralda,Dosquebradas,10102,215452,225554,10.351912498474121,1479,8000,0.04478750005364418,77.71545734445002,312485.233877,92931.65803600001,802.750041,46.091704,191367.229034,41271.345994,70.61787414550781,138959307274,0,0,0,0,1,1,0,0,12,557.104766,53067.764269,2925.96507,6,49,2,56550.834104999994,0,47,42,5,9,38,1,0,0,0,0.4433528113001764,0.4433528113001764,0,20.83758213110829,18.62081807460741,2.216764056500882,3.990175301701588,16.847406829406705,0.19148936170212766,3.871201010907891,5.320233735602117,138959.307274,2.4699396419482698,235.27742478076203,12.972348395506176,250.71971281821646,0,0,0.4433528113001764,0,0.6931471805599453
66170,2022,66,Risaralda,Dosquebradas,10072,217624,227696,10.351912498474121,1479,8000,0.044234417378902435,77.65130106285058,343547.83074,117811.51359799999,2032.632824,0.842827,217694.360877,25021.216467,67.9944857463107,141942980911,0,0,0,0,1,1,0,0,17,846.9381103515625,41280.61328125,11047.818481445312,23.200000762939453,66,5,53175.369873046875,0,49,48,1,5,44,1,0,0,0,0.4391820673178272,0.4391820673178272,0,21.519921298573536,21.08073923125571,0.4391820673178272,2.1959103365891366,19.3240109619844,0.10204081632653061,3.912023005428146,7.466095144403064,141942.980911,3.7196003019445336,181.29705081007134,48.520037600332515,233.53668871234837,0,0,0.4391820673178272,0,0.6931471805599453
66170,2023,66,Risaralda,Dosquebradas,10087,219999,230086,10.351912498474121,1479,8000,0.04384012892842293,NA,416932.509785,130366.230628,1943.00674,0.775233,257112.155002,67785.082813,70.60673185323529,164046107202,0,0,0,0,0,0,0,0,17,409.608862,26266.58737,7347.942852,0,30,0,34024.139084,0,62,56,6,9,53,0,0,0,0,0,0,0,26.94644611145398,24.338725520022948,2.6077205914310304,3.9115808871465454,23.034865224307435,0.14516129032258066,4.143134726391533,7.388541675721252,164046.107202,1.7802424397833854,114.15986791895205,31.93563646636475,147.87574682510018,0,0,0,0,0
66318,2012,66,Risaralda,Guática,11515,3931,15446,62.44328308105469,2150,11400,0.7455004453659058,61.28,7447.559000000001,1331.2689999999998,670.17,0,5227.844,4713.157,NA,4522082765,0,0,0,0,1,0,0,0,0,3744.705534,0,492.926,0,786,0,4237.631534,0,9,7,2,8,1,0,0,0,0,6.474168069403081,0,0,58.267512624627734,45.31917648582157,12.948336138806162,51.79334455522465,6.474168069403081,0.8888888888888888,2.302585092994046,0,4522.082765,242.43852997539815,0,31.91285769778583,274.35138767318404,0,0,0,0,0
66318,2013,66,Risaralda,Guática,11450,3946,15396,62.44328308105469,2150,11400,0.7436996698379517,62.59,13224.864,1375.1170000000002,911.032,1288,6757.667,10013.046,NA,5055889852,0,0,0,0,0,0,0,0,3,3753.440889,0,416,0,773,0,4169.4408889999995,0,1,1,0,1,0,0,0,0,0,0,0,0,6.495193556767992,6.495193556767992,0,6.495193556767992,0,1,0.6931471805599453,19.485580670303975,5055.889852,243.79325077942323,0,27.020005196154845,270.81325597557804,0,0,0,0,0
66318,2014,66,Risaralda,Guática,11395,3959,15354,62.44328308105469,2150,11400,0.7421518564224243,64.95090365679239,11888.128,1905.449,1042.171,1288,6998.401,8552.983,NA,5200273103,0,0,0,0,0,0,0,0,1,3335.241496,0,1291.65398,1.5,676,1,4626.895476,0,2,1,1,2,0,0,0,0,0,0,0,0,13.025921583952066,6.512960791976033,6.512960791976033,13.025921583952066,0,1,1.0986122886681098,6.512960791976033,5200.273103,217.22297095219486,0,84.12491728539794,301.34788823759277,0,0,0,0,0
66318,2015,66,Risaralda,Guática,11344,3966,15310,62.44328308105469,2150,11400,0.7409536242485046,64.42728315339488,13253.2412109375,1738.89599609375,919.442016601562,1287.86303710937,7441.97607421875,5165.7880859375,NA,5719511807,0,0,0,0,1,0,0,0,0,3582.864473,0,915.8,67,678,13,4498.664473,0,7,7,0,6,1,0,0,0,0,6.531678641410843,0,0,45.721750489875895,45.721750489875895,0,39.19007184846505,6.531678641410843,0.8571428571428571,2.0794415416798357,0,5719.511807,234.02119353363815,0,59.81711299804049,293.83830653167865,0,0,0,0,0
66318,2016,66,Risaralda,Guática,11291,3974,15265,62.44328308105469,2150,11400,0.7396659255027771,58.68,12664.938999999998,1562.15,998.953,686.299,8212.057,3149.577,46.61791155541848,6227945707,0,0,0,0,0,0,0,0,1,2928.393196,0,1387.018381,0,568,0,4315.411577,0,2,1,1,2,0,0,0,0,0,0,0,0,13.101867016049786,6.550933508024893,6.550933508024893,13.101867016049786,0,1,1.0986122886681098,6.550933508024893,6227.945707,191.8370911234851,0,90.86265188339338,282.69974300687846,0,0,0,0,0
